well	plasmid	conditions
A1	pAM03	100
A2	pAM03	50
A3	pAM03	25
A4	pAM03	12.5
A5	pAM03	6.25
A6	pAM03	3.125
A7	pAM03	1.5
A8	pAM03	0.7
A9	pAM03	0.0
A10	pAM04	MTX
A11	pAM04	MTX
A12	pAM04	MTX
B1	pAM03	100
B2	pAM03	50
B3	pAM03	25
B4	pAM03	12.5
B5	pAM03	6.25
B6	pAM03	3.125
B7	pAM03	1.5
B8	pAM03	0.7
B9	pAM03	0.0
B10	pAM05	MTX
B11	pAM05	MTX
B12	pAM05	MTX
C1	pAM03	100
C2	pAM03	50
C3	pAM03	25
C4	pAM03	12.5
C5	pAM03	6.25
C6	pAM03	3.125
C7	pAM03	1.5
C8	pAM03	0.7
C9	pAM03	0.0
C10	pAM06	MTX
C11	pAM06	MTX
C12	pAM06	MTX
D1	pAM02	4000
D2	pAM02	2000
D3	pAM02	1000
D4	pAM02	500
D5	pAM02	250
D6	pAM02	125
D7	pAM02	62.5
D8	pAM02	31.25
D9	pAM02	15.6
D10	pAM02	7.81
D11	pAM02	3.9
D12	pAM02	1.9
E1	pAM02	4000
E2	pAM02	2000
E3	pAM02	1000
E4	pAM02	500
E5	pAM02	250
E6	pAM02	125
E7	pAM02	62.5
E8	pAM02	31.25
E9	pAM02	15.6
E10	pAM02	7.81
E11	pAM02	3.9
E12	pAM02	1.9
F1	pAM02	4000
F2	pAM02	2000
F3	pAM02	1000
F4	pAM02	500
F5	pAM02	250
F6	pAM02	125
F7	pAM02	62.5
F8	pAM02	31.25
F9	pAM02	15.6
F10	pAM02	7.81
F11	pAM02	3.9
F12	pAM02	1.9
G1	pAM01	0%
G2	pAM01	0%
G3	pAM01	0%
G4	pAM01	1%
G5	pAM01	1%
G6	pAM01	1%
G7	pAM01	1.50%
G8	pAM01	1.50%
G9	pAM01	1.50%
G10	pAM01	1.75%
G11	pAM01	1.75%
G12	pAM01	1.75%
H1	cblank	common
H2	pAM01	2%
H3	pAM01	2%
H4	pAM01	2%
H5	blank	gal0
H6	pAM02	0
H7	pAM02	0
H8	pAM02	0
H9	blank	GAL1
H10	blank	GAL1.5
H11	blank 	GAL1.75
H12	blank	GAL2
